fare_amount,passenger_count,distance_m,pickup_time
23.0,1,8697,21
5.3,1,1154,21
45.0,1,20071,07
20.1,2,9509,04
5.7,1,1804,01
5.5,1,1084,07
6.1,1,1133,19
8.5,1,3066,00
4.1,5,844,16
8.0,1,2456,17
9.5,1,1944,18
17.5,1,7748,18
4.1,1,754,19
15.7,1,6340,22
5.3,1,1748,05
9.7,2,4615,19
8.9,4,1751,21
9.5,1,1907,14
29.5,3,5095,14
18.0,1,6888,21
23.7,1,10074,09
6.0,1,871,10
24.0,1,4946,12
49.8,1,18213,17
3.7,1,880,09
4.9,1,1413,22
7.7,1,2117,21
7.3,5,2396,08
4.1,1,1428,22
7.0,2,1269,22
9.7,1,3076,21
4.5,1,777,13
12.5,1,4524,08
7.3,1,1831,21
4.0,5,587,18
7.7,1,2267,16
12.9,1,6109,19
8.0,2,1830,06
6.5,1,1032,14
11.5,1,3287,21
7.3,1,2530,14
7.3,5,2820,06
14.1,1,5153,15
4.5,1,1051,21
5.5,2,937,19
8.9,1,4007,21
15.0,2,3407,22
4.1,1,906,12
10.5,6,3195,15
8.5,1,1855,11
8.1,1,1781,08
9.7,1,3289,20
4.9,3,1110,15
8.0,1,1530,09
13.7,2,5669,09
10.5,2,2061,20
10.5,1,2964,18
12.0,1,1374,11
5.0,1,1486,01
7.3,1,2615,09
17.0,2,5307,00
7.0,1,2055,22
7.3,2,2913,20
7.7,1,2285,14
24.0,1,6862,17
4.9,1,1132,06
13.0,1,3898,20
5.5,1,1348,10
5.7,3,1877,15
9.3,1,2708,08
6.5,2,2849,19
5.0,1,750,07
17.0,1,7816,00
5.5,1,819,07
4.9,2,637,22
23.0,1,6019,17
7.5,1,1074,12
4.9,1,1270,18
9.5,1,2973,11
14.0,1,3011,14
16.9,1,6815,19
6.1,1,2311,12
7.5,1,2616,07
12.5,1,3860,10
4.0,2,837,07
6.5,2,2231,10
19.5,1,6870,20
7.3,1,2170,20
9.0,5,2260,19
9.3,1,2067,17
3.5,1,453,17
11.7,1,5197,09
7.3,2,2050,12
5.5,5,790,08
15.0,1,5633,23
6.5,1,1734,23
9.3,1,2931,17
15.0,1,5836,23
6.5,1,1696,13
5.0,5,818,00
13.5,1,1558,16
6.5,1,1997,09
5.7,1,1873,17
34.25,2,10860,10
4.5,1,744,19
7.7,1,2221,11
39.33,2,9922,05
5.7,1,1248,12
7.7,1,2707,06
10.0,1,2156,20
6.9,1,2035,22
45.0,1,18975,17
7.3,5,1679,07
4.5,2,772,17
18.5,1,6600,03
8.9,2,2794,17
19.3,1,7989,00
6.5,1,1498,17
6.5,2,1137,10
10.5,1,1768,07
16.0,1,4043,21
13.3,1,6106,04
15.5,1,4253,12
11.7,4,5328,05
11.7,2,4279,17
6.1,1,2430,16
15.0,1,6173,19
12.5,1,3152,22
3.5,1,887,06
6.1,1,2102,11
4.5,1,701,11
12.5,1,3603,09
35.7,2,17181,13
8.5,5,1775,19
8.5,1,2892,17
4.0,1,712,23
3.3,1,632,02
15.7,1,5464,17
8.9,1,1772,11
4.5,1,848,13
29.3,1,8347,20
5.7,2,1381,22
10.5,1,2003,19
10.0,1,2805,14
9.3,4,1278,08
7.3,3,1634,08
8.0,1,1170,22
10.5,2,4172,17
10.9,1,2165,16
4.0,1,734,05
5.3,1,1676,12
11.0,3,1854,20
8.5,1,3424,19
7.7,2,2613,14
8.5,1,1832,08
49.8,1,19646,07
10.0,2,1364,19
8.1,1,2282,17
7.7,2,2303,20
6.5,2,1824,11
13.5,1,1088,12
8.5,1,2831,15
6.9,1,1670,15
43.0,1,17765,16
6.5,1,1958,08
15.7,2,3418,01
6.9,1,2463,11
13.5,1,4855,22
7.0,5,1650,14
4.9,1,1537,06
3.0,5,282,17
2.9,1,302,13
13.0,5,3350,04
6.1,1,1756,12
12.1,2,3139,15
13.7,1,3876,18
13.7,1,4410,18
4.5,6,1887,14
7.7,2,1875,09
22.0,6,8981,23
7.3,2,1795,10
4.1,5,587,17
5.3,2,1336,09
6.5,1,2247,17
6.5,1,1298,14
19.0,1,7314,01
10.0,1,3183,06
8.0,1,2557,08
57.33,1,20109,14
6.1,1,2059,06
6.9,2,1719,18
10.9,1,4837,20
6.1,2,689,11
3.7,1,648,01
13.0,5,2407,09
8.5,1,3485,12
13.7,1,4286,12
8.5,5,2351,03
7.5,1,1532,09
4.9,1,1187,06
9.7,1,4322,05
12.5,2,3565,01
5.0,6,589,15
7.3,1,1714,10
7.7,1,1602,10
8.5,2,2270,01
5.7,1,1093,10
16.0,1,5016,21
37.47,1,10520,09
11.7,1,5216,19
10.1,1,3422,15
4.5,1,724,05
4.0,1,520,23
19.0,1,3753,12
8.5,1,4138,20
5.0,1,695,00
6.5,1,2304,07
7.0,1,1313,21
7.3,2,1577,23
17.3,1,6144,02
12.1,2,4688,18
10.1,1,2112,11
19.5,1,8238,21
5.7,1,885,01
12.9,2,3834,07
29.7,1,13122,02
5.3,2,1730,10
5.5,1,1012,10
8.1,1,3180,01
9.3,1,1947,12
5.0,1,845,21
6.5,3,1268,17
5.3,1,1341,20
5.5,1,1458,09
11.0,3,2289,19
21.5,1,8281,00
5.5,2,926,11
6.1,1,2868,17
10.0,1,2044,10
10.1,1,3692,13
6.9,5,2019,23
7.5,1,1009,08
8.5,1,1491,19
6.5,1,1519,19
9.3,1,3618,06
13.5,1,4915,22
5.0,1,1167,01
14.5,1,3950,08
4.9,1,1023,12
5.7,1,1394,15
3.7,1,818,10
4.9,1,1226,13
4.1,2,648,16
9.5,1,2051,08
12.5,1,4465,20
4.1,1,367,16
7.0,1,2257,21
8.5,2,1272,12
6.9,2,1542,15
10.1,2,2769,11
8.1,1,3003,07
5.3,1,513,18
10.0,1,1152,14
10.5,1,2359,13
7.7,2,1823,14
6.0,1,730,02
33.7,1,11794,17
4.5,5,1170,13
15.7,1,4278,13
5.7,1,2139,15
6.9,1,1941,07
10.0,1,3220,06
16.0,1,4815,22
8.0,1,2468,05
10.5,2,3926,02
5.5,1,1082,10
10.0,1,1908,16
4.9,3,976,14
18.1,5,6312,23
21.5,1,6671,03
5.7,1,2167,22
17.0,3,5358,16
6.9,1,1498,11
11.0,1,2047,07
9.7,1,2014,10
10.0,1,1680,12
4.9,3,1011,11
7.7,1,2446,20
7.7,1,628,20
10.1,5,3860,03
7.7,1,1867,17
16.5,6,4729,21
5.5,2,1144,19
12.1,1,4943,00
7.7,1,2385,12
13.3,1,3599,01
6.0,1,1796,21
5.5,1,921,20
17.7,1,4859,17
6.9,2,1777,17
8.5,2,1616,15
14.0,2,4373,18
11.7,1,4350,19
16.5,1,7627,07
5.5,1,1329,09
6.5,1,3212,04
4.1,1,736,21
5.5,3,1393,21
8.5,1,955,19
5.0,1,1110,07
11.7,2,4949,21
12.9,1,4991,00
6.0,1,646,15
16.0,1,4657,12
6.9,1,2313,06
10.5,1,3058,15
10.0,1,2809,21
36.0,1,16144,18
12.0,1,2613,19
25.7,2,10200,03
8.1,1,1841,09
5.7,1,1578,16
6.0,2,1378,14
5.3,1,1771,10
11.3,1,4324,12
4.9,1,1299,08
22.0,1,6887,09
9.3,5,2514,14
14.9,5,6559,23
9.7,1,3214,09
4.1,1,711,11
8.9,1,2411,10
9.0,1,2640,09
8.9,1,3006,19
7.3,1,1151,14
10.9,2,3794,13
13.7,1,5731,23
7.5,1,1097,16
6.1,1,1428,20
14.5,1,5620,23
57.33,1,21825,09
7.7,3,2328,00
7.3,1,3178,06
8.5,1,1864,15
7.3,1,2963,08
9.5,2,2525,11
10.5,1,3396,09
4.5,1,808,19
5.5,1,1262,19
12.9,1,5295,08
10.9,1,3759,00
17.3,1,6669,10
18.9,1,6773,07
5.0,4,559,14
5.0,1,857,19
8.1,3,2445,01
12.0,1,2819,07
4.5,1,663,12
5.0,5,1529,22
9.7,2,2806,22
7.7,1,2415,07
6.1,1,1670,11
9.7,2,2308,22
14.9,1,5069,14
6.9,1,2279,04
7.7,2,2175,22
6.5,1,1782,05
6.5,2,2027,20
14.5,1,4935,17
7.5,1,1769,08
9.7,1,3546,06
8.3,2,1930,19
10.5,4,2896,19
38.83,1,11944,14
7.3,2,1735,13
8.1,1,3179,19
57.33,1,21583,16
10.9,1,3339,06
10.0,1,2802,19
4.5,2,778,21
5.3,1,1055,11
45.0,1,19688,22
5.3,1,1103,14
4.9,1,1330,13
5.3,1,1094,15
5.0,1,1127,06
4.9,1,1525,01
8.0,1,2132,05
4.5,1,1217,21
22.5,5,4889,18
9.5,3,2058,21
6.1,1,1593,08
7.3,1,1527,15
7.0,1,1442,15
8.5,5,2976,21
8.5,1,1906,12
9.7,5,2435,14
6.5,1,1522,22
7.5,2,2114,07
3.7,1,424,16
4.9,1,1284,01
26.33,2,7293,15
8.9,2,3956,15
10.0,1,3182,08
39.5,6,15613,06
3.7,1,1182,01
4.9,1,1003,18
16.5,1,7065,19
7.3,5,3483,07
8.9,2,2207,08
15.3,3,4772,17
26.1,1,11345,02
10.1,1,2666,12
49.8,1,20890,20
21.3,1,5553,19
5.5,6,1013,13
4.5,2,1224,01
6.0,1,1410,08
12.5,6,1782,18
10.5,1,1887,01
31.8,2,7268,14
13.7,5,5532,18
4.9,1,1236,14
5.5,6,754,22
21.7,1,7986,21
10.5,1,3376,14
15.3,1,6540,09
7.3,1,2426,07
26.1,1,9022,09
9.0,1,2494,11
12.1,1,1496,16
10.1,2,2311,20
6.5,1,1501,10
8.5,2,2866,08
4.5,1,1303,07
4.5,3,666,13
9.3,1,2699,21
12.1,1,4603,09
9.0,1,2004,20
7.7,6,2123,13
9.7,1,2047,09
4.0,1,635,15
14.1,1,6481,19
12.1,1,3332,08
8.1,1,2053,19
49.57,1,19161,16
8.0,1,1997,13
3.7,5,397,13
6.5,2,1878,20
6.1,1,725,15
7.3,1,2081,08
9.0,1,3550,01
8.5,1,1826,12
6.5,2,2296,00
10.5,1,4874,21
21.0,1,9649,03
16.0,1,4588,06
12.0,4,3578,21
13.3,1,3436,13
6.5,3,931,11
3.7,6,682,11
9.7,2,1703,13
10.1,1,4848,12
8.0,1,1551,12
3.7,1,1006,07
7.3,2,1822,20
7.7,1,2855,15
4.0,1,493,07
33.3,1,15338,23
3.7,1,1271,13
15.0,1,3331,13
8.9,1,3962,05
7.5,1,1549,19
12.9,1,5152,04
6.9,1,2236,07
14.0,2,3809,11
12.9,1,3045,08
13.5,1,3449,19
6.1,1,2027,05
11.5,1,2929,19
8.1,1,2344,23
7.7,1,1858,23
3.7,1,609,21
3.7,2,804,22
11.5,1,3304,23
5.0,1,918,22
11.0,2,3536,03
8.9,1,3407,02
8.9,5,1287,09
3.5,2,310,02
49.8,1,21161,22
7.3,1,2839,21
19.0,4,4839,18
18.5,5,7494,03
8.5,2,1621,15
6.5,4,1340,18
8.1,1,3075,18
25.07,5,8225,23
12.0,1,5429,16
10.0,1,2479,21
40.5,1,14245,14
10.5,1,1882,20
43.0,1,17601,17
9.3,1,2757,20
8.9,2,2770,15
52.0,1,19302,14
5.5,2,1024,14
5.3,1,1032,18
6.0,4,1385,08
4.1,1,689,02
5.0,1,1125,23
9.3,2,1964,12
4.5,1,1143,22
6.5,1,1350,21
17.7,1,6360,17
6.0,3,1033,04
27.0,3,5578,12
16.5,1,5774,18
7.0,2,2090,19
11.5,1,5602,00
19.0,1,7161,23
10.9,1,2832,23
7.3,3,2024,18
9.3,1,4075,06
8.5,1,1693,10
8.5,4,1768,13
13.0,1,3296,14
4.1,4,633,01
6.1,1,612,09
5.5,1,937,12
15.3,1,5417,16
16.0,2,6406,02
9.3,1,2335,16
18.0,1,6689,19
11.7,1,5413,06
6.5,2,2231,20
5.7,1,1364,20
10.5,1,2813,13
8.0,1,2262,05
6.9,1,1541,21
14.5,5,5604,20
8.5,1,1522,13
52.0,5,17531,17
4.1,1,747,21
15.5,2,5014,11
8.5,1,2894,19
11.0,1,2131,19
5.7,1,985,23
3.7,1,405,15
6.5,1,1810,09
8.1,1,2987,18
16.5,1,3329,21
4.1,1,772,10
4.5,1,572,09
8.9,1,2731,01
10.9,2,5378,23
8.1,1,1718,11
22.0,1,7806,23
16.5,1,6785,23
6.5,1,1424,18
7.5,1,1602,21
8.0,3,2235,14
8.1,1,2988,14
5.0,6,2139,16
7.3,1,3530,09
6.0,1,1761,13
8.1,1,909,10
4.5,1,1385,19
11.3,1,4586,16
6.9,5,2102,19
17.0,1,4534,14
4.9,1,1390,13
4.1,1,757,19
12.1,1,5136,12
20.0,1,4938,12
10.5,1,3628,14
5.7,6,1840,10
9.0,1,1824,14
16.5,2,5728,18
13.7,5,2084,16
7.5,1,1574,15
7.0,1,2266,08
9.3,1,2125,00
7.7,1,2442,12
8.9,2,2139,21
8.0,1,2712,17
6.1,1,1737,10
7.7,1,2450,08
6.1,1,1935,21
6.5,1,2053,20
3.7,1,681,07
8.5,1,3265,15
6.1,1,1433,22
5.7,1,1241,00
7.7,2,2223,12
9.5,5,2743,19
7.5,3,1396,12
3.7,1,753,16
8.1,1,1918,11
12.0,2,3276,23
4.5,1,1022,11
5.0,1,802,09
30.83,5,5367,14
5.0,2,1181,16
7.7,1,1753,19
4.5,1,740,10
10.5,1,2415,20
5.3,1,958,23
7.3,2,1353,18
9.0,1,3241,21
12.1,1,4660,03
4.5,5,678,21
20.5,2,7832,00
8.9,1,1232,15
5.3,1,1572,19
7.7,3,1019,08
7.0,1,1492,16
12.1,1,1741,15
6.5,5,1467,10
5.7,1,2114,07
15.0,2,6300,00
20.5,1,5398,13
13.0,1,4857,00
12.1,2,4410,16
10.5,1,1984,11
7.0,1,1198,10
17.7,1,7397,16
35.33,1,9358,09
4.5,1,929,19
10.9,1,4708,07
4.1,2,365,20
14.0,1,3809,15
93.16,2,32779,15
8.0,1,2101,19
9.0,1,1779,08
7.7,1,1241,08
8.0,1,1965,01
4.1,1,681,09
5.7,1,1735,23
4.1,2,742,02
16.5,2,4946,20
6.5,1,1261,15
6.9,1,2349,17
27.0,1,11304,23
40.33,1,9957,10
8.0,1,3635,06
8.5,1,2376,16
4.1,1,1239,13
24.5,2,7507,23
8.0,1,3876,01
3.3,4,389,03
5.7,1,1577,01
6.1,1,1471,22
9.5,1,2204,00
11.0,1,4014,22
8.1,1,2444,20
10.5,1,4234,18
5.5,1,1664,10
7.5,2,3209,21
13.3,1,6192,02
10.5,2,4736,21
8.5,1,1704,14
13.5,1,2339,09
4.5,1,1153,19
8.1,1,1989,14
10.5,1,3512,19
8.1,1,3792,22
12.0,1,2956,18
8.5,1,2229,11
9.3,2,2487,14
34.0,1,12237,15
6.9,1,1722,21
15.0,2,5071,21
12.0,4,4088,19
21.5,1,6632,00
8.5,1,2951,10
7.5,2,1942,17
4.9,1,1147,11
6.5,1,1421,08
10.0,6,3246,00
6.1,1,1485,15
4.0,6,791,20
26.0,1,8823,18
4.5,1,774,03
5.5,3,574,09
9.0,2,1557,09
23.0,1,9581,04
7.3,3,1991,03
4.5,1,816,08
10.1,1,2735,12
8.1,1,2183,12
6.5,1,1637,19
23.0,1,6610,11
4.5,2,841,08
13.5,1,3823,22
18.1,1,7131,19
14.9,6,4810,21
4.5,1,889,15
31.83,1,9446,14
12.1,1,4721,00
10.9,1,2663,16
5.3,1,1098,22
22.5,1,10599,03
8.9,1,2447,16
13.5,6,3689,08
4.9,3,1341,12
5.0,6,639,18
5.3,1,1521,12
29.8,1,7690,17
9.0,1,2337,20
9.5,1,2275,22
69.25,1,19491,10
4.1,1,666,21
7.0,3,2253,22
3.7,2,1024,20
18.5,1,8242,04
7.5,1,1344,20
14.9,2,4493,16
26.1,1,9170,19
8.9,1,2767,02
9.0,2,1757,09
11.7,2,2911,23
7.3,1,1324,12
7.3,1,1995,16
8.5,1,1341,08
10.5,1,3011,22
16.0,1,5841,12
8.0,1,1389,00
8.0,1,1971,03
57.33,2,21144,17
8.5,1,1899,11
8.9,2,2733,02
3.3,1,304,16
8.1,1,2368,00
25.0,1,7774,22
51.5,1,10303,01
10.0,4,2336,22
4.5,1,720,18
13.0,1,4356,14
5.7,1,1700,06
8.1,3,2368,20
8.5,5,2568,20
5.5,1,1125,17
9.7,1,3227,21
8.9,1,2413,18
7.0,1,1519,12
6.0,1,1401,10
5.3,1,1459,23
20.0,1,4110,21
13.7,2,3608,20
5.3,1,1597,14
6.5,1,1335,23
8.0,5,1141,23
11.7,3,4971,23
35.3,1,12837,10
39.33,1,10824,16
8.0,1,1535,09
3.3,5,558,12
12.1,1,2831,11
4.9,1,789,09
10.5,1,3546,20
13.0,1,4400,12
13.5,1,4745,21
16.5,1,4008,16
20.5,1,7831,17
12.0,1,1263,09
13.5,1,4944,09
5.0,1,733,09
7.5,2,2122,01
8.1,5,2115,18
11.5,5,4061,01
10.0,1,2723,16
4.5,1,1377,07
10.0,2,3854,19
8.1,1,1785,13
23.0,1,7227,23
13.3,1,4574,18
20.1,5,7620,08
12.0,1,2788,02
8.6,4,3332,21
7.3,1,1231,18
9.0,2,2148,19
11.0,1,3299,01
6.0,1,1639,02
57.33,1,21162,21
4.5,2,880,04
9.5,1,2379,23
12.5,1,1048,15
5.7,1,662,07
9.0,1,2239,23
8.5,1,1649,21
41.5,1,19084,22
12.0,1,4110,20
8.9,1,1905,11
4.9,1,496,16
4.5,1,1361,02
6.1,2,1428,13
8.5,1,1754,08
7.7,1,3136,21
3.7,1,540,16
7.3,2,2208,03
8.5,1,1771,09
9.5,1,1252,09
4.5,1,537,21
4.5,1,985,19
8.1,1,1689,19
11.0,2,3856,20
6.5,1,1821,16
8.9,2,3031,16
7.0,1,1777,06
13.0,1,2413,09
16.0,1,5311,10
45.0,1,19903,14
4.0,1,791,02
7.7,1,2602,20
42.8,2,11210,09
4.0,2,727,15
5.5,1,896,08
6.5,1,923,13
3.0,1,514,15
40.3,2,8126,18
23.5,2,6798,01
4.9,1,1052,17
8.5,1,3107,01
6.9,1,1567,08
5.3,2,1354,20
5.7,1,1398,01
4.9,1,593,19
12.1,2,3687,10
7.5,1,1598,16
14.0,1,5579,21
7.5,1,1116,09
4.9,5,715,00
4.9,1,1052,13
6.0,1,1421,10
6.9,1,2216,22
23.0,1,6356,21
19.0,1,4891,18
4.9,1,1486,05
8.5,1,1808,20
5.3,1,1191,17
12.9,2,5852,17
7.5,1,1810,21
9.0,1,2126,22
17.3,4,7232,09
5.0,1,693,09
9.7,1,3517,13
9.0,1,918,09
4.9,5,718,10
9.0,2,2222,01
12.5,2,4776,21
7.3,1,1948,17
7.5,1,1445,10
6.9,1,2873,00
11.7,1,4678,00
18.0,1,6248,21
10.0,1,3117,11
11.5,1,3045,17
6.9,2,1470,21
8.9,1,2972,12
18.5,1,7576,20
28.5,1,8933,12
8.0,1,1938,18
6.9,1,2708,21
21.5,3,6961,05
9.3,5,2169,11
16.1,2,4729,12
10.5,1,1200,09
13.0,1,5565,06
9.7,4,3518,21
6.5,3,2670,23
7.3,3,2592,20
6.0,3,1221,20
5.7,1,1268,20
7.0,3,1636,14
7.3,2,1534,10
6.1,5,2409,20
6.5,2,1738,21
25.7,1,7568,00
9.0,2,1208,10
9.5,1,2443,09
7.3,1,1726,02
16.5,1,6148,21
8.5,1,2511,20
25.3,1,5038,16
36.8,1,10571,14
8.0,1,1601,12
9.0,3,1577,21
3.5,1,628,16
5.5,5,491,16
4.5,1,828,15
7.7,1,1987,17
8.5,4,1936,21
4.5,1,1326,23
3.3,1,559,01
5.7,2,1456,18
7.7,2,1094,14
6.5,2,1211,12
9.7,1,3062,01
7.5,1,2207,11
11.0,1,2408,16
4.5,1,665,11
36.8,5,9656,11
12.0,1,1639,17
6.9,1,1094,14
33.5,2,11710,16
7.7,1,1780,14
8.9,1,1358,12
17.3,5,6892,12
5.3,1,862,13
4.0,1,855,18
5.3,1,782,12
4.9,1,1167,10
9.0,1,1535,09
7.5,3,1438,20
9.0,1,2808,18
41.83,1,10290,13
43.7,1,15079,22
22.5,1,7005,17
12.0,2,1379,15
4.9,3,854,10
4.1,1,912,20
8.9,1,1471,14
7.5,1,1832,13
5.5,1,969,07
16.5,5,5817,19
11.0,1,3277,23
8.0,1,1890,06
8.0,1,1204,13
9.5,2,1616,11
9.0,1,2565,20
9.5,1,2444,22
7.5,1,1372,12
20.5,1,8693,00
6.5,1,1015,06
5.7,1,1040,09
6.9,2,1030,09
6.5,1,1651,01
21.0,1,6027,22
12.1,1,5880,00
8.5,1,1234,09
6.1,5,1719,21
5.3,1,873,18
7.0,1,1497,17
7.5,1,1477,16
11.7,5,4315,15
9.0,1,1975,23
7.3,2,2568,21
9.5,2,1989,19
10.5,1,2758,12
6.1,1,901,22
18.5,1,7424,22
12.0,5,2540,09
7.5,6,2275,20
27.6,5,9830,17
13.0,1,2172,09
8.5,1,2575,13
12.9,1,3302,22
16.0,1,5758,06
16.0,2,5477,19
17.0,1,5584,12
20.5,1,8662,04
4.1,2,802,13
4.5,1,722,18
7.5,1,1211,13
13.0,2,2609,11
4.1,1,902,11
14.9,1,3150,09
16.5,1,6313,14
17.3,2,7363,01
6.1,2,968,18
21.5,1,6431,17
14.0,1,4102,21
5.5,2,1044,07
13.5,1,4830,11
3.7,2,673,12
7.7,1,1989,13
6.0,1,1093,19
29.7,1,9243,20
8.0,1,1039,10
7.0,1,1152,15
13.5,3,4068,22
5.5,1,1447,06
6.1,1,1045,13
8.1,1,966,16
10.9,2,4428,00
17.3,1,6598,22
4.9,1,837,08
6.1,1,2410,01
13.5,1,3090,17
5.5,1,779,15
5.5,1,1657,20
14.0,2,2574,00
6.5,2,1945,12
6.9,1,2323,01
8.5,3,2176,19
4.9,1,1199,21
46.1,1,20558,21
4.5,1,736,16
7.7,1,3471,02
6.5,1,1365,10
11.7,1,4702,21
14.5,5,6678,22
14.5,5,6839,03
23.5,1,5422,00
8.0,1,2685,08
8.9,1,2755,16
10.5,1,3289,09
33.33,1,9436,14
19.3,1,6859,01
7.5,1,2524,00
10.1,2,2628,14
18.5,2,6658,10
7.0,1,771,09
14.5,5,3346,10
6.9,1,1996,09
10.0,1,3162,13
31.07,4,9617,09
10.5,1,4606,03
5.0,1,830,14
10.1,1,4616,08
45.33,1,7955,11
5.7,5,1110,15
7.3,1,2031,00
21.0,1,6282,00
4.5,1,1031,13
10.0,1,2843,16
12.5,1,5407,18
5.3,1,662,14
5.3,1,1190,12
10.9,1,4500,19
13.3,1,4222,13
4.5,1,784,18
15.7,6,5189,15
24.5,1,4529,11
5.0,1,1294,01
8.5,1,1872,15
9.3,1,2874,18
18.1,1,8253,15
5.0,5,1050,14
11.7,1,3262,09
7.3,1,2860,15
14.0,1,1399,20
4.9,1,785,07
15.3,1,4944,20
13.3,1,5771,08
4.0,1,1056,13
4.1,2,766,17
4.5,2,1252,07
8.5,1,3290,18
5.0,3,621,13
6.0,5,940,19
13.7,1,5358,14
7.3,5,1412,11
3.5,1,479,12
6.0,1,1805,01
14.9,1,7031,22
6.0,1,1304,05
6.5,5,1645,06
37.5,1,7963,08
6.5,3,1669,15
6.5,5,2804,12
6.5,1,1296,18
4.1,2,1233,22
10.1,2,2393,17
4.0,1,423,09
5.7,1,1840,14
33.3,1,7689,20
6.5,5,1277,13
10.1,1,4108,18
8.5,1,733,09
12.5,1,4312,02
5.5,1,1417,19
8.5,1,1420,02
4.5,5,674,16
49.83,1,16355,20
11.7,1,1654,10
4.5,1,841,18
6.1,5,897,08
17.0,1,4077,15
13.0,1,1651,13
5.3,1,1133,12
10.1,1,2728,20
13.7,5,4064,03
10.0,1,1213,14
19.5,1,5349,11
11.5,1,2892,20
10.0,4,2752,23
6.5,1,1573,14
6.5,2,1981,19
29.47,1,8485,15
5.5,1,1194,19
6.0,1,1931,06
52.0,1,18603,14
8.1,5,1996,13
5.0,6,452,00
19.3,1,3133,21
8.5,1,3918,20
12.5,4,4633,06
18.9,2,6458,10
6.9,5,3055,20
13.5,3,4427,21
